	INDIGNATO	PREOCCUPATO	TRISTE	DIVERTITO	SODDISFATTO
achille#n	0.11070314730127118	0.1366941405011737	0.08286303624884978	0.37594794091698946	0.29379173503171596
aci#n	0.1363465418941863	0.12731124276836348	0.11998164842200065	0.11092257806323164	0.5054379888522179
acido#n	0.27559082318558187	0.14318678064977958	0.21973635037786235	0.0547933438208011	0.30669270196597503
acqua#n	0.12579135024966054	0.23671576315115947	0.1926043413024849	0.22881661274943318	0.21607193254726184
acquatico#a	0.04952222607265577	0.04197016699900063	0.29675257907354763	0.14234513769560433	0.46940989015919166
acquazzone#n	0.0763072561671487	0.15276988899610805	0.3078981841734415	0.3164401493882821	0.14658452127501978
acque#n	0.19649504542819843	0.17174195925999983	0.25978831075136416	0.07886874681960739	0.29310593774083027
acquedotto#n	0.13168683912673304	0.47447318718881953	0.12542982271376465	0.07777146825827462	0.1906386827124082
acquirente#n	0.18351863522313788	0.20787456023715145	0.0645344927887973	0.3298207552777167	0.2142515564731967
acquisire#v	0.1812000538555732	0.2357426304149233	0.14067374030919183	0.22250254341494283	0.21988103200536877
acquisizione#n	0.13808261064816857	0.24892450570561483	0.17154170540289426	0.23538783960116302	0.20606333864215928
acquistare#v	0.172911790957509	0.24570751729903156	0.1142070984314442	0.2780192711055981	0.1891543222064172
acquisto#n	0.2283452937896618	0.22982377870504944	0.1149895542219517	0.20814464002174463	0.21869673326159247
acrobazia#n	0.09227498969299174	0.09729359561966135	0.48747969742645464	0.14416719842804376	0.17878451883284857
acronimo#n	0.15981871280342236	0.2295503965361255	0.06524756437301947	0.2769105838390664	0.26847274244836616
act#a	0.4236735582492676	0.14194448027737108	0.0572079120709086	0.16919597345080425	0.20797807595164858
act#n	0.30652766412232413	0.23764621321126872	0.09414713805942539	0.16513088422085304	0.19654810038612874
action#n	0.24439748498239422	0.3081734260507744	0.07964278814496237	0.17806013304434842	0.1897261677775205
acuire#v	0.2079708815884371	0.21477482921311408	0.16106691841464313	0.21135310286379266	0.20483426792001302
